,T,V
142,7.100591715976331,-0.8666228965818008
143,7.150595882990249,-1.7911262187937593
144,7.200600050004168,-0.9064041476222358
145,7.250604217018085,-1.7138650754194011
146,7.300608384032003,-0.9399387563985329
147,7.350612551045921,-1.5317260555756187
148,7.400616718059839,-0.585523988775816
149,7.450620885073756,-1.1132009090406005
150,7.500625052087674,-0.4691391841134407
151,7.550629219101592,-1.0132546183069127
152,7.6006333861155095,-0.47111180789641993
153,7.650637553129427,-0.9369798203126489
154,7.700641720143345,-0.5411399527329148
155,7.750645887157264,-0.9211988279117223
156,7.800650054171181,-0.6216887592479873
157,7.850654221185099,-0.9458566285805317
158,7.900658388199017,-0.7949508919980146
159,7.950662555212935,-0.9428976924878236
160,8.000666722226853,-0.8741846219415219
161,8.05067088924077,-0.8998287341867344
